period_date,year,period,month,period_abbr,period_name,sizeclass_code,industry_code,industry_text,state_code,state_text,jobs,quits,hires
9/1/2019,2019,M09,9,SEP,September,6,100000,Total private,0,Total US,4.9,0.9,2
10/1/2019,2019,M10,10,OCT,October,6,100000,Total private,0,Total US,4.5,1,1.9
11/1/2019,2019,M11,11,NOV,November,6,100000,Total private,0,Total US,4.4,1,1.9
12/1/2019,2019,M12,12,DEC,December,6,100000,Total private,0,Total US,4.8,1.1,2.2
1/1/2020,2020,M01,1,JAN,January,6,100000,Total private,0,Total US,4.4,1.1,1.8
2/1/2020,2020,M02,2,FEB,February,6,100000,Total private,0,Total US,4.3,1.1,2
3/1/2020,2020,M03,3,MAR,March,6,100000,Total private,0,Total US,4.2,1.2,2
4/1/2020,2020,M04,4,APR,April,6,100000,Total private,0,Total US,4,1,1.1
5/1/2020,2020,M05,5,MAY,May,6,100000,Total private,0,Total US,3.7,0.8,1.3
6/1/2020,2020,M06,6,JUN,June,6,100000,Total private,0,Total US,4,0.9,1.7
7/1/2020,2020,M07,7,JUL,July,6,100000,Total private,0,Total US,4.6,1,1.7
8/1/2020,2020,M08,8,AUG,August,6,100000,Total private,0,Total US,3.9,0.9,1.8
9/1/2020,2020,M09,9,SEP,September,6,100000,Total private,0,Total US,4,1.2,1.7
10/1/2020,2020,M10,10,OCT,October,6,100000,Total private,0,Total US,4.6,1.2,2
11/1/2020,2020,M11,11,NOV,November,6,100000,Total private,0,Total US,4.4,1,2.1
12/1/2020,2020,M12,12,DEC,December,6,100000,Total private,0,Total US,4.3,0.9,1.7
1/1/2021,2021,M01,1,JAN,January,6,100000,Total private,0,Total US,4.5,0.9,1.9
2/1/2021,2021,M02,2,FEB,February,6,100000,Total private,0,Total US,4.8,1,1.9
3/1/2021,2021,M03,3,MAR,March,6,100000,Total private,0,Total US,5.1,1,1.9
4/1/2021,2021,M04,4,APR,April,6,100000,Total private,0,Total US,5.6,1.1,1.8
5/1/2021,2021,M05,5,MAY,May,6,100000,Total private,0,Total US,5.6,1.1,1.8
6/1/2021,2021,M06,6,JUN,June,6,100000,Total private,0,Total US,7.1,1,2.7
7/1/2021,2021,M07,7,JUL,July,6,100000,Total private,0,Total US,6.5,1,2.3
8/1/2021,2021,M08,8,AUG,August,6,100000,Total private,0,Total US,6.3,1.1,2.2
1/1/2019,2019,M01,1,JAN,January,0,110099,Mining and logging,0,Total US,4,2.3,4.4
2/1/2019,2019,M02,2,FEB,February,0,110099,Mining and logging,0,Total US,4,2.7,4.2
3/1/2019,2019,M03,3,MAR,March,0,110099,Mining and logging,0,Total US,4,2.9,4.6
4/1/2019,2019,M04,4,APR,April,0,110099,Mining and logging,0,Total US,3.6,2.4,3.5
5/1/2019,2019,M05,5,MAY,May,0,110099,Mining and logging,0,Total US,3.8,1.9,3.5
6/1/2019,2019,M06,6,JUN,June,0,110099,Mining and logging,0,Total US,3.7,1.8,2.6
7/1/2019,2019,M07,7,JUL,July,0,110099,Mining and logging,0,Total US,4.6,1.9,3
8/1/2019,2019,M08,8,AUG,August,0,110099,Mining and logging,0,Total US,3.9,1.9,2.9
9/1/2019,2019,M09,9,SEP,September,0,110099,Mining and logging,0,Total US,3.9,1.5,3.1
10/1/2019,2019,M10,10,OCT,October,0,110099,Mining and logging,0,Total US,2.7,1.7,3.6
11/1/2019,2019,M11,11,NOV,November,0,110099,Mining and logging,0,Total US,2.7,2,3
12/1/2019,2019,M12,12,DEC,December,0,110099,Mining and logging,0,Total US,2.5,1.8,3.3
1/1/2020,2020,M01,1,JAN,January,0,110099,Mining and logging,0,Total US,2.6,2,2.3
2/1/2020,2020,M02,2,FEB,February,0,110099,Mining and logging,0,Total US,3.3,1.9,3.3
3/1/2020,2020,M03,3,MAR,March,0,110099,Mining and logging,0,Total US,2.4,1.3,3.4
4/1/2020,2020,M04,4,APR,April,0,110099,Mining and logging,0,Total US,1.5,0.9,2.7
5/1/2020,2020,M05,5,MAY,May,0,110099,Mining and logging,0,Total US,1.8,1.1,3.2
6/1/2020,2020,M06,6,JUN,June,0,110099,Mining and logging,0,Total US,3.1,1.4,2.1
7/1/2020,2020,M07,7,JUL,July,0,110099,Mining and logging,0,Total US,2.5,1.7,4.2
8/1/2020,2020,M08,8,AUG,August,0,110099,Mining and logging,0,Total US,2.6,1.1,3.2
9/1/2020,2020,M09,9,SEP,September,0,110099,Mining and logging,0,Total US,2.9,1.3,3.9
10/1/2020,2020,M10,10,OCT,October,0,110099,Mining and logging,0,Total US,3.4,1.4,3.2
11/1/2020,2020,M11,11,NOV,November,0,110099,Mining and logging,0,Total US,2.7,2,4.2
12/1/2020,2020,M12,12,DEC,December,0,110099,Mining and logging,0,Total US,3.4,1.6,4
1/1/2021,2021,M01,1,JAN,January,0,110099,Mining and logging,0,Total US,3.9,1.3,2.9
2/1/2021,2021,M02,2,FEB,February,0,110099,Mining and logging,0,Total US,3.3,2.1,3.2
3/1/2021,2021,M03,3,MAR,March,0,110099,Mining and logging,0,Total US,4.8,1.5,5
4/1/2021,2021,M04,4,APR,April,0,110099,Mining and logging,0,Total US,3.6,1.9,3.5
5/1/2021,2021,M05,5,MAY,May,0,110099,Mining and logging,0,Total US,4,1.7,3.8
6/1/2021,2021,M06,6,JUN,June,0,110099,Mining and logging,0,Total US,4.3,1.9,4
